"","event","latitude","longitude","raw_intensity_measure","intensity_classification","f_cluster_2","f_cluster_3","f_cluster_5","f_cluster_16","f_cluster_19","f_cluster_21","f_cluster_5_rating","f_cluster_19_rating"
"62","fire",41.0594,-123.6861,3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"63","fire",41.0592,-123.6853,1.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"64","fire",41.0539,-123.6847,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"65","fire",41.06153,-123.6835,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"66","fire",41.0556,-123.6861,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"67","fire",41.0558,-123.6842,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"68","fire",41.0553,-123.6842,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"69","fire",41.0603,-123.6925,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"70","fire",41.0606,-123.6892,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"71","fire",41.0547,-123.6831,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"72","fire",41.055,-123.6867,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"73","fire",41.055,-123.6867,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"74","fire",41.0611,-123.6825,3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"75","fire",41.0614,-123.6839,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"76","fire",41.0586,-123.6922,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"77","fire",41.0597,-123.6856,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"78","fire",41.0611,-123.6856,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"79","fire",41.0597,-123.6847,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"80","fire",41.0575,-123.6831,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"81","fire",41.0617,-123.6861,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"82","fire",41.0631,-123.6897,1.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"83","fire",41.0617,-123.6847,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"84","fire",41.0597,-123.685,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"85","fire",41.0619,-123.685,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"86","fire",41.0608,-123.6878,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"87","fire",41.0619,-123.6836,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"88","fire",41.0597,-123.6856,4,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"89","fire",41.0608,-123.6878,4,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"90","fire",41.0608,-123.6819,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"91","fire",41.0553,-123.6839,2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"92","fire",41.0553,-123.6839,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"93","fire",41.0631,-123.6858,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"94","fire",41.0622,-123.6858,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"95","fire",41.0569,-123.6861,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"96","fire",41.0506,-123.6872,2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"97","fire",41.04442,-123.6955,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"98","fire",41.0458,-123.6811,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"99","fire",41.04403,-123.68878,5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"100","fire",41.0511,-123.6808,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
